,날짜,승하차총원
265,2020-09-22,115322
266,2020-09-23,117002
267,2020-09-24,116145
268,2020-09-25,120646
269,2020-09-26,75003
270,2020-09-27,49608
271,2020-09-28,116742
272,2020-09-29,114571
273,2020-09-30,42459
274,2020-10-01,28912
275,2020-10-02,43476
276,2020-10-03,52262
277,2020-10-04,46623
278,2020-10-05,115478
279,2020-10-06,118100
280,2020-10-07,118336
281,2020-10-08,121150
282,2020-10-09,70064
283,2020-10-10,73257
284,2020-10-11,50546
285,2020-10-12,119017
286,2020-10-13,120927
287,2020-10-14,122730
288,2020-10-15,121779
289,2020-10-16,125485
290,2020-10-17,83543
291,2020-10-18,56249
292,2020-10-19,120514
293,2020-10-20,123690
294,2020-10-21,123560
295,2020-10-22,122924
296,2020-10-23,128175
297,2020-10-24,85441
298,2020-10-25,58230
299,2020-10-26,121595
300,2020-10-27,123476
301,2020-10-28,125042
302,2020-10-29,123847
303,2020-10-30,128369
304,2020-10-31,86733
